Year,Sex,Life,ratio,cum_sum
1947,F,1301806,0.0118480437598353,0.0118480437598353
1948,F,1303060,0.0118594567099022,0.0237075004697375
1949,F,1316630,0.0119829604837525,0.0356904609534901
1950,F,1134396,0.0103244058246637,0.0460148667781538
1951,F,1043048,0.00949302610958061,0.0555078928877344
1952,F,977101,0.00889282689262366,0.0644007197803581
1953,F,910516,0.00828682108703617,0.0726875408673942
1954,F,858368,0.00781220982699597,0.0804997506943902
1955,F,841022,0.0076543397856395,0.0881540904800297
1956,F,809194,0.00736466564311132,0.095518756123141
1957,F,761493,0.00693052757999907,0.10244928370314
1958,F,804736,0.00732409233258629,0.109773376035726
1959,F,790266,0.00719239744624776,0.116965773481974
1960,F,781280,0.00711061373867084,0.124076387220645
1961,F,771773,0.00702408828708684,0.131100475507732
1962,F,785347,0.00714762846588154,0.138248103973613
1963,F,806960,0.00734433348166831,0.145592437455282
1964,F,833837,0.00758894740427513,0.153181384859557
1965,F,888331,0.00808491016420132,0.161266295023758
1966,F,655511,0.00596596037585739,0.167232255399615
1967,F,942869,0.00858127337851581,0.175813528778131
1968,F,903843,0.008226088538554,0.184039617316685
1969,F,912128,0.0083014922796262,0.192341109596311
1970,F,933836,0.00849906191284228,0.200840171509154
1971,F,968036,0.008810324187395,0.209650495696549
1972,F,987293,0.00898558669093481,0.218636082387484
1973,F,1014466,0.00923289457942665,0.22786897696691
1974,F,983451,0.00895061974184617,0.236819596708756
1975,F,922349,0.00839451601378419,0.245214112722541
1976,F,888788,0.00808906942909812,0.253303182151639
1977,F,851720,0.00775170480941625,0.261054886961055
1978,F,829494,0.00754942073590138,0.268604307696956
1979,F,796696,0.00725091839435811,0.275855226091314
1980,F,765471,0.00696673229719704,0.282821958388511
1981,F,742859,0.00676093514654833,0.28958289353506
1982,F,737537,0.0067124983680346,0.296295391903094
1983,F,733481,0.00667558375442098,0.302970975657515
1984,F,725183,0.00660006169727951,0.309571037354795
1985,F,696293,0.00633712698640735,0.315908164341202
1986,F,671645,0.00611279971906304,0.322020964060265
1987,F,654354,0.00595543024569196,0.327976394305957
1988,F,639123,0.00581680931868283,0.33379320362464
1989,F,606296,0.00551804304129272,0.339311246665933
1990,F,594614,0.0054117224011955,0.344722969067128
1991,F,594630,0.00541186802097307,0.350134837088101
1992,F,586853,0.00534108770783867,0.35547592479594
1993,F,578038,0.00526086031163452,0.360736785107575
1994,F,602413,0.00548270294152406,0.366219488049099
1995,F,578517,0.00526521980372547,0.371484707852824
1996,F,586762,0.00534025949535375,0.376824967348178
1997,F,580760,0.00528563387629336,0.382110601224471
1998,F,585733,0.00533089432340888,0.38744149554788
1999,F,572900,0.00521409816056282,0.392655593708443
2000,F,578399,0.0052641458578659,0.397919739566309
2001,F,569744,0.00518537465943743,0.403105114225746
2002,F,561015,0.00510592996953771,0.408211044195284
2003,F,546874,0.00497722938987543,0.413188273585159
2004,F,541162,0.00492524312928347,0.418113516714443
2005,F,517498,0.00470987147825963,0.422823388192702
2006,F,532235,0.00484399639463633,0.427667384587339
2007,F,529971,0.00482339119611039,0.432490775783449
2008,F,531643,0.0048386084628663,0.437329384246316
2009,F,521042,0.00474212625899105,0.442071510505307
2010,F,520562,0.004737757665664,0.446809268170971
2011,F,512535,0.00466470204350509,0.451473970214476
2012,F,505450,0.00460021978575053,0.456074190000226
2013,F,502159,0.00457026761775191,0.460644457617978
2014,F,488006,0.00444145782325645,0.465085915441235
2015,F,490225,0.00446165346615799,0.469547568907393
2016,F,475098,0.00432397906770305,0.473871547975096
2017,F,461616,0.00420127620262937,0.478072824177725
2018,F,447549,0.00407324911443835,0.482146073292163
2019,F,421809,0.00383898329727499,0.485985056589438
1947,M,1376986,0.0125322746896854,0.498517331279124
1948,M,1378564,0.0125466364402481,0.511063967719372
1949,M,1380008,0.0125597786251736,0.523623746344545
1950,M,1203111,0.01094979726314,0.534573543607685
1951,M,1094641,0.0099625861835864,0.544536129791272
1952,M,1028061,0.0093566258841794,0.553892755675451
