Alb,F,M
0,9.75940349048354e-05,9.73437667085575e-05
1,2.02939316535922e-05,2.15858958788617e-05
2,1.1334039839217e-05,1.29592569763082e-05
3,7.70866015387117e-06,9.50049641113004e-06
4,7.12527922619444e-06,8.16703350903225e-06
5,6.7919203768918e-06,8.833762515148e-06
6,5.54183557921473e-06,7.62531979214831e-06
7,4.50011137886897e-06,6.2918843950488e-06
8,4.16676215586609e-06,5.95852860185708e-06
9,4.83346182422739e-06,5.4584972039029e-06
10,5.87518984451751e-06,6.16687582932762e-06
11,5.75018185178244e-06,6.50023238657482e-06
12,6.00019800911511e-06,6.75025060670187e-06
13,5.83352049443597e-06,9.4588253993777e-06
14,6.12520634557523e-06,1.27925667019468e-05
15,9.00044553076018e-06,1.58347123201397e-05
16,1.07506356461506e-05,1.95854429382303e-05
17,1.05006064238244e-05,2.32946509591825e-05
18,1.0875650515163e-05,2.87962269537312e-05
19,1.21258086610565e-05,3.2922627459242e-05
20,1.46261765303635e-05,4.02172279807544e-05
21,1.72516368102116e-05,4.43024599664499e-05
22,1.93770649551395e-05,4.02172279807544e-05
23,2.07523684705446e-05,4.0467338948913e-05
24,2.16692490401238e-05,4.47610178739843e-05
25,2.13358368539307e-05,4.47193306959415e-05
26,2.03772836301352e-05,4.27600548893459e-05
27,2.07523684705446e-05,4.53029529287052e-05
28,2.12941604166295e-05,4.68870893057804e-05
29,2.30445872337892e-05,4.7929299345828e-05
30,2.46283357782096e-05,4.82211202983418e-05
31,2.5086794453788e-05,4.89298322259302e-05
32,2.67956153414683e-05,5.23900933343535e-05
33,3.00466315698023e-05,5.51834122356487e-05
34,3.32560821442174e-05,5.7059570131246e-05
35,3.59654468039539e-05,5.99781149367429e-05
36,3.93835297234357e-05,6.58154856706394e-05
37,4.20930770154149e-05,6.95265805390477e-05
38,4.40106515933181e-05,7.22370264577554e-05
39,4.56364530297959e-05,7.749135180668e-05
40,5.18481160275419e-05,8.59155865595707e-05
41,6.10204750761678e-05,9.54667771991824e-05
42,6.36472756400108e-05,0.000105102401217527
43,6.68996100796626e-05,0.000113487476616991
44,7.39467339118116e-05,0.00012283294966664
45,8.18284840777839e-05,0.000141109463848488
46,9.01697047280825e-05,0.000156676607757755
47,9.88036742339826e-05,0.000169616477526002
48,0.000111109540840815,0.000191075676686969
49,0.000122290552198923,0.000216298799670445
50,0.000131762111637901,0.000229330704807684
51,0.000140817344541522,0.000244829409016045
52,0.000154965343549196,0.000277339319862291
53,0.000167779738668106,0.000302251953451571
54,0.000170952310917349,0.000327213234934565
55,0.000180595940640793,0.000365358283322958
56,0.00019884231639733,0.000405988654960554
57,0.000213416996021731,0.000444752984107177
58,0.000231126915174573,0.000491241747227367
59,0.000248046452428152,0.00054270028634873
60,0.000263506561150817,0.000587687521829361
61,0.000283566838070404,0.000639074846673471
62,0.000304634895363143,0.000715097477605675
63,0.000326711433108806,0.000799842583942723
64,0.000362848248574466,0.000879996699238217
65,0.000396069988155223,0.000961653338739321
66,0.000423443115093347,0.00104957941219397
67,0.000474025567308911,0.0011662011363357
68,0.000529707188401063,0.00130748650739909
69,0.0005582525334904,0.00135797170869478
70,0.000614237506315729,0.00147045927925282
71,0.000695361581320664,0.00169046224954461
72,0.00075411998401298,0.00180089780011738
73,0.000848490134244817,0.00198094081554445
74,0.000960853252677363,0.00220905970689023
75,0.00106298434545649,0.00242748219770705
76,0.00119604492889192,0.00268676615002894
77,0.00139642525339745,0.00303261599645743
78,0.00159555263290256,0.00342153420043423
79,0.001838093856111,0.00387872596334105
80,0.00213616986536291,0.00441340252237155
81,0.00242452934665949,0.00500649946362819
82,0.00283547079866198,0.00575788824588763
83,0.00330033636572014,0.00652457567994891
84,0.00385663751878129,0.00746974472742734
85,0.00446577934040582,0.00852196632389368
86,0.00512048142229171,0.00968237330289434
87,0.00592222577241985,0.010923451224788
88,0.00699569814656487,0.0122997955958
89,0.00839355370078909,0.0141515396037807
90,0.00978473124257373,0.0159180904155842
91,0.0112127448381277,0.0178048230983358
92,0.0128507212000031,0.0201408392566165
93,0.0147501983421602,0.0223883743676256
94,0.0169080086396974,0.0251291084695431
95,0.0193898124070199,0.0286682853487865
96,0.0214712455841638,0.0312926752230143
97,0.0239923600257271,0.0340886806570991
98,0.0276618920270187,0.038338154893662
99,0.0314713724701556,0.0436817443599304
